"word","already_lexically_mapped","confidence","library","target","score","overlap_terms","wordnet_synonym_tokens","wordnet_gloss_sample","source_file"
"annunciation","no","wordnet-gloss-synonym-candidate","setup-classifier","Accounting / Bookkeeping / Tax Preparation","5.0","public statement","announcement proclamation annunciation declaration lady day march","a formal public statement; ""the government made an announcement about changes in the drug war""; ""a declaration of independence""   / (Christianity) the announcement to the Virgin Mary by the angel Gabriel of the incarnation of Christ  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"annunciator","no","wordnet-gloss-synonym-candidate","setup-classifier","Electrical Contractor","5.0","electrical circuit","annunciator","an indicator that announces which electrical circuit has been active (as on a telephone switchboard)  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anode","no","wordnet-gloss-synonym-candidate","setup-classifier","Solar Energy Installer","5.0","battery storage","anode","a positively charged electrode by which electrons leave an electrical device   / the negatively charged terminal of a voltaic cell or storage battery that supplies current  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anole","no","wordnet-gloss-synonym-candidate","setup-classifier","Spa / Salon","5.0","skin color","american chameleon anole anolis carolinensis","small arboreal tropical American insectivorous lizards with the ability to change skin color  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anomie","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","anxiety social","anomie anomy","lack of moral standards in a society   / personal state of isolation and anxiety resulting from a lack of social control and regulation  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anomy","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","anxiety social","anomie anomy","lack of moral standards in a society   / personal state of isolation and anxiety resulting from a lack of social control and regulation  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"answer","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","law criminal","answer solution result resolution solvent reply response resolve respond suffice serve","a nonverbal reaction; ""his answer to any problem was to get drunk""; ""their answer was to sue me""   / the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"answer","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","3.5","car new","answer solution result resolution solvent reply response resolve respond suffice serve","a nonverbal reaction; ""his answer to any problem was to get drunk""; ""their answer was to sue me""   / the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"answer","no","wordnet-gloss-synonym-candidate","setup-classifier","Car Wash","3.5","car serve","answer solution result resolution solvent reply response resolve respond suffice serve","a nonverbal reaction; ""his answer to any problem was to get drunk""; ""their answer was to sue me""   / the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antediluvian","no","wordnet-gloss-synonym-candidate","setup-classifier","Childcare Center / Daycare","5.0","before early","ancient antediluvian patriarch antiquated archaic antediluvial","a very old person   / any of the early patriarchs who lived prior to the Noachian deluge  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antenna","no","wordnet-gloss-synonym-candidate","setup-classifier","PR / Public Relations","5.0","public relations","antenna feeler aerial transmitting","one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste   / an electrical device that sends or receives radio or television signals  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antiarrhythmic","no","wordnet-gloss-synonym-candidate","setup-classifier","Pharmacy","5.0","drug medication","antiarrhythmic drug medication","a drug used to treat an abnormal heart rhythm  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antic","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","halloween amusement","antic joke prank trick caper put clown around fantastic fantastical grotesque","a ludicrous or grotesque act done for fun and amusement   / act as or like a clown  ","market-validation-api/src/domain/market-research/scoring.ts"
"antinomianism","no","wordnet-gloss-synonym-candidate","setup-classifier","Private School","5.0","christian faith","antinomianism","the theological doctrine that by faith and God's grace a Christian is freed from all laws (including the moral standards of the culture)  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antipersonnel","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","personal injury","antipersonnel","designed to inflict death or personal injury rather than material destruction  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"antiseptic","no","wordnet-gloss-synonym-candidate","setup-classifier","Solar Energy Installer","5.0","clean green","antiseptic","a substance that destroys micro-organisms that carry disease without harming body tissues   / devoid of objectionable language; ""lyrics as antiseptic as Sunday School""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anvil","no","wordnet-gloss-synonym-candidate","setup-classifier","Heavy Manufacturing","5.0","heavy steel","anvil incus","a heavy block of iron or steel on which hot metals are shaped by hammering   / the ossicle between the malleus and the stapes  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anxiety","yes","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","mental anxiety","anxiety anxiousness","a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune   / (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"anxiousness","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","mental anxiety","anxiousness disquiet anxiety","a feeling of mild anxiety about possible developments   / (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apache","no","wordnet-gloss-synonym-candidate","registry-reserved-word","government","5.0","united states","apache","the language of the Apache   / a Parisian gangster  ","registry-api/src/reservedWords.ts"
"apanage","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","resources life","appanage apanage","a grant (by a sovereign or a legislative body) of resources to maintain a dependent member of a ruling family; ""bishoprics were received as appanages for the younger sons of great families""   / any customary and rightful perquisite appropriate to your station in life; ""for thousands of years the chair was an appanage of state and dignity rather than an article of ordinary use""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apart","no","wordnet-gloss-synonym-candidate","setup-classifier","HVAC Contractor","5.0","split quality","apart aside asunder","not taken into account or excluded from consideration; ""these problems apart, the country is doing well""; ""all joking aside, I think you're crazy""   / into parts or pieces; ""he took his father's watch apart""; ""split apart""; ""torn asunder""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apartment","yes","wordnet-gloss-synonym-candidate","setup-classifier","Painting Contractor","5.0","house floor","apartment flat","a suite of rooms usually on one floor of an apartment house  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aperture","no","wordnet-gloss-synonym-candidate","setup-classifier","Light Manufacturing","5.0","light small","aperture","an man-made opening; usually small   / a device that controls amount of light admitted  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aphakia","no","wordnet-gloss-synonym-candidate","setup-classifier","Optometry Practice","5.0","eye lens","aphakia","absence of the natural lens of the eye (usually resulting from the removal of cataracts)  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aphid","no","wordnet-gloss-synonym-candidate","setup-classifier","Light Manufacturing","5.0","small plant","aphid","any of various small plant-sucking insects  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aphonic","no","wordnet-gloss-synonym-candidate","setup-classifier","Physical Therapy Clinic","5.0","speech injury","aphonic voiceless","being without sound through injury or illness and thus incapable of all but whispered speech  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apiculture","no","wordnet-gloss-synonym-candidate","setup-classifier","Farm / Agricultural Operation","5.0","beekeeping honey","beekeeping apiculture","the cultivation of bees on a commercial scale for the production of honey  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apothecary","no","wordnet-gloss-synonym-candidate","setup-classifier","Pharmacy","5.0","pharmacist dispensing","pharmacist druggist chemist apothecary pill pusher roller","a health professional trained in the art of preparing and dispensing drugs  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appanage","no","wordnet-gloss-synonym-candidate","setup-classifier","Consulting / Professional Services","5.0","resources life","appanage apanage","a grant (by a sovereign or a legislative body) of resources to maintain a dependent member of a ruling family; ""bishoprics were received as appanages for the younger sons of great families""   / any customary and rightful perquisite appropriate to your station in life; ""for thousands of years the chair was an appanage of state and dignity rather than an article of ordinary use""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apparel","yes","wordnet-gloss-synonym-candidate","overpass-osm-tag","clothing/apparel stores","5.0","clothing apparel","apparel wearing dress clothes clothe enclothe garb raiment tog garment habilitate fit out","clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clothes at the same store""; ""fastidious about his dress""   / provide with clothes or put clothes on; ""Parents must feed and dress their child""  ","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"apparel","yes","wordnet-gloss-synonym-candidate","setup-classifier","Retail Store","5.0","clothing apparel","apparel wearing dress clothes clothe enclothe garb raiment tog garment habilitate fit out","clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clothes at the same store""; ""fastidious about his dress""   / provide with clothes or put clothes on; ""Parents must feed and dress their child""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apparently","no","wordnet-gloss-synonym-candidate","setup-classifier","Auto Dealership","5.0","used owned","obviously evidently manifestly patently apparently plainly plain seemingly ostensibly face","unmistakably (`plain' is often used informally for `plainly'); ""the answer is obviously wrong""; ""she was in bed and evidently in great pain""; ""he was manifestly too important to leave off the guest list""; ""it is all patently nonsense""; ""she has apparently been living here for some time""; ""I thought he owned the property, but apparently not""; ""You are plainly wrong""; ""he is plain stubborn""   / from appearances alone; ""irrigation often produces bumper crops from apparently desert land""; ""the child","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apparently","no","wordnet-gloss-synonym-candidate","setup-classifier","Secondhand / Consignment Store","5.0","used owned","obviously evidently manifestly patently apparently plainly plain seemingly ostensibly face","unmistakably (`plain' is often used informally for `plainly'); ""the answer is obviously wrong""; ""she was in bed and evidently in great pain""; ""he was manifestly too important to leave off the guest list""; ""it is all patently nonsense""; ""she has apparently been living here for some time""; ""I thought he owned the property, but apparently not""; ""You are plainly wrong""; ""he is plain stubborn""   / from appearances alone; ""irrigation often produces bumper crops from apparently desert land""; ""the child","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appeal","no","wordnet-gloss-synonym-candidate","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","5.0","law legal","appeal appealingness charm solicitation collection ingathering entreaty prayer invoke attract","(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial; ""their appeal was denied in the superior court""   / attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal to her""  ","market-validation-api/src/domain/market-research/scoring.ts"
"appeal","no","wordnet-gloss-synonym-candidate","overpass-osm-tag","law offices","5.0","law legal","appeal appealingness charm solicitation collection ingathering entreaty prayer invoke attract","(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial; ""their appeal was denied in the superior court""   / attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal to her""  ","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"appeal","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","law legal","appeal appealingness charm solicitation collection ingathering entreaty prayer invoke attract","(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial; ""their appeal was denied in the superior court""   / attractiveness that interests or pleases or stimulates; ""his smile was part of his appeal to her""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appearance","no","wordnet-gloss-synonym-candidate","setup-classifier","Event Planning","7.5","event party show","appearance show appearing coming court visual aspect","the act of appearing in public view; ""the rookie made a brief appearance in the first period""; ""it was Bernhardt's last appearance in America""   / pretending that something is the case in order to make a good impression; ""they try to keep up appearances""; ""that ceremony is just for show""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appetiser","no","wordnet-gloss-synonym-candidate","setup-classifier","Catering Service","3.5","meal food","appetizer appetiser starter","food or drink to stimulate the appetite (usually served before a meal or as the first course)  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appetizer","no","wordnet-gloss-synonym-candidate","setup-classifier","Catering Service","3.5","meal food","appetizer appetiser starter","food or drink to stimulate the appetite (usually served before a meal or as the first course)  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"applaudable","no","wordnet-gloss-synonym-candidate","setup-classifier","AI Services","5.0","intelligence computer","applaudable commendable laudable praiseworthy","worthy of high praise; ""applaudable efforts to save the environment""; ""a commendable sense of purpose""; ""laudable motives of improving housing conditions""; ""a significant and praiseworthy increase in computer intelligence""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apple","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","tree orchard","apple orchard tree malus pumila","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh   / native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits  ","market-validation-api/src/domain/market-research/scoring.ts"
"applejack","no","wordnet-gloss-synonym-candidate","setup-classifier","Brewery / Winery","5.0","hard cider","applejack","distilled from hard cider  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"applet","no","wordnet-gloss-synonym-candidate","setup-classifier","Software Development","5.0","application web","applet","a Java application; an application program that uses the client's web browser to provide a user interface  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appliance","yes","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","6.0","home control appliance","appliance contraption contrivance convenience gadget gizmo gismo widget","durable goods for home or office use   / a device or control that is very useful for a particular job  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"appliance","yes","wordnet-gloss-synonym-candidate","setup-classifier","Retail Store","3.5","goods home","appliance contraption contrivance convenience gadget gizmo gismo widget","durable goods for home or office use   / a device or control that is very useful for a particular job  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"application","yes","wordnet-gloss-synonym-candidate","setup-classifier","Spa / Salon","6.0","massage skin dry","application diligence coating covering practical lotion program applications programme","the action of putting something into operation; ""the application of maximum thrust""; ""massage has far-reaching medical applications""; ""the application of indexes to tables of data""   / a diligent effort; ""it is a job requiring serious application""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"application","yes","wordnet-gloss-synonym-candidate","setup-classifier","Painting Contractor","5.0","paint coating","application diligence coating covering practical lotion program applications programme","the action of putting something into operation; ""the application of maximum thrust""; ""massage has far-reaching medical applications""; ""the application of indexes to tables of data""   / a diligent effort; ""it is a job requiring serious application""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"application","yes","wordnet-gloss-synonym-candidate","setup-classifier","Excavation Contractor","5.0","work preparation","application diligence coating covering practical lotion program applications programme","the action of putting something into operation; ""the application of maximum thrust""; ""massage has far-reaching medical applications""; ""the application of indexes to tables of data""   / a diligent effort; ""it is a job requiring serious application""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"application","yes","wordnet-gloss-synonym-candidate","setup-classifier","Childcare Center / Daycare","5.0","school program","application diligence coating covering practical lotion program applications programme","the action of putting something into operation; ""the application of maximum thrust""; ""massage has far-reaching medical applications""; ""the application of indexes to tables of data""   / a diligent effort; ""it is a job requiring serious application""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"application","yes","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","act program","application diligence coating covering practical lotion program applications programme","the action of putting something into operation; ""the application of maximum thrust""; ""massage has far-reaching medical applications""; ""the application of indexes to tables of data""   / a diligent effort; ""it is a job requiring serious application""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"applique","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","5.0","design material","applique","a decorative design made of one material sewn over another   / sew on as a decoration  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"apply","no","wordnet-gloss-synonym-candidate","setup-classifier","AI Services","7.5","computer natural tool","apply use utilize utilise employ put give enforce implement practice hold lend oneself","ask (for something); ""He applied for a leave of absence""; ""She applied for college""; ""apply for a job""   / refer (a word or name) to a person or thing; ""He applied this racial slur to me!""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apply","no","wordnet-gloss-synonym-candidate","setup-classifier","Painting Contractor","5.0","house paint","apply use utilize utilise employ put give enforce implement practice hold lend oneself","ask (for something); ""He applied for a leave of absence""; ""She applied for college""; ""apply for a job""   / refer (a word or name) to a person or thing; ""He applied this racial slur to me!""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apply","no","wordnet-gloss-synonym-candidate","setup-classifier","Tutoring Center","5.0","homework college","apply use utilize utilise employ put give enforce implement practice hold lend oneself","ask (for something); ""He applied for a leave of absence""; ""She applied for college""; ""apply for a job""   / refer (a word or name) to a person or thing; ""He applied this racial slur to me!""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apply","no","wordnet-gloss-synonym-candidate","setup-classifier","Grocery Store","3.5","food natural","apply use utilize utilise employ put give enforce implement practice hold lend oneself","ask (for something); ""He applied for a leave of absence""; ""She applied for college""; ""apply for a job""   / refer (a word or name) to a person or thing; ""He applied this racial slur to me!""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apply","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","3.5","practice work","apply use utilize utilise employ put give enforce implement practice hold lend oneself","ask (for something); ""He applied for a leave of absence""; ""She applied for college""; ""apply for a job""   / refer (a word or name) to a person or thing; ""He applied this racial slur to me!""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appointment","no","wordnet-gloss-synonym-candidate","setup-classifier","Law Firm","5.0","law property","appointment assignment designation naming fitting date engagement appointee","(law) the act of disposing of property by virtue of the power of appointment; ""she allocated part of the trust to her church by appointment""   / the act of putting a person into a non-elective position; ""the appointment had to be approved by the whole committee""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appointment","no","wordnet-gloss-synonym-candidate","setup-classifier","Heavy Manufacturing","5.0","equipment ship","appointment assignment designation naming fitting date engagement appointee","(law) the act of disposing of property by virtue of the power of appointment; ""she allocated part of the trust to her church by appointment""   / the act of putting a person into a non-elective position; ""the appointment had to be approved by the whole committee""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appreciation","no","wordnet-gloss-synonym-candidate","market-regex-budget_price_pattern","BUDGET_PRICE_PATTERN","5.0","price value","appreciation admiration taste discernment perceptiveness grasp hold","an increase in price or value; ""an appreciation of 30% in the value of real estate""   / a favorable judgment; ""a small token in admiration of your works""  ","market-validation-api/src/domain/market-research/scoring.ts"
"appreciation","no","wordnet-gloss-synonym-candidate","setup-classifier","Accounting / Bookkeeping / Tax Preparation","3.5","accounting small","appreciation admiration taste discernment perceptiveness grasp hold","an increase in price or value; ""an appreciation of 30% in the value of real estate""   / a favorable judgment; ""a small token in admiration of your works""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"apprehension","no","wordnet-gloss-synonym-candidate","setup-classifier","Nonprofit Organization","5.0","social cause","apprehension arrest catch collar pinch taking custody understanding discernment savvy misgiving apprehensiveness dread","the act of apprehending (especially apprehending a criminal); ""the policeman on the beat got credit for the collar""   / the cognitive condition of someone who understands; ""he has virtually no understanding of social cause and effect""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"appropriate","no","wordnet-gloss-synonym-candidate","market-regex-children_focus_pattern","CHILDREN_FOCUS_PATTERN","5.0","children day","allow appropriate earmark set aside reserve capture seize conquer","give or assign a resource to a particular person or cause; ""I will earmark this money for your research""; ""She sets aside time for meditation every day""    / take possession of by force, as after an invasion; ""the invaders seized the land and property of the inhabitants""; ""The army seized the town""; ""The militia captured the castle""  ","market-validation-api/src/domain/market-research/scoring.ts"
"appropriate","no","wordnet-gloss-synonym-candidate","market-regex-licensed_trade_pattern","LICENSED_TRADE_PATTERN","5.0","day funeral","allow appropriate earmark set aside reserve capture seize conquer","give or assign a resource to a particular person or cause; ""I will earmark this money for your research""; ""She sets aside time for meditation every day""    / take possession of by force, as after an invasion; ""the invaders seized the land and property of the inhabitants""; ""The army seized the town""; ""The militia captured the castle""  ","market-validation-api/src/domain/market-research/scoring.ts"
"apron","no","wordnet-gloss-synonym-candidate","setup-classifier","Secondhand / Consignment Store","5.0","used clothing","apron proscenium forestage","a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing   / a paved surface where aircraft stand while not being used  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"aquarium","yes","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","water pool","aquarium fish tank marine museum","a tank or pool or bowl filled with water for keeping live fish and underwater animals  ","market-validation-api/src/domain/market-research/scoring.ts"
"aquatics","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","sports water","water sport aquatics","sports that involve bodies of water  ","market-validation-api/src/domain/market-research/scoring.ts"
"aquifer","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","ground water","aquifer","underground bed or layer yielding ground water for wells and springs etc  ","market-validation-api/src/domain/market-research/scoring.ts"
"aquifer","no","wordnet-gloss-synonym-candidate","setup-classifier","Utility / Pipeline Contractor","5.0","underground water","aquifer","underground bed or layer yielding ground water for wells and springs etc  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"ar","no","wordnet-gloss-synonym-candidate","registry-reserved-word","government","5.0","united states","arkansas land opportunity ark argon atomic number","a state in south central United States; one of the Confederate states during the American Civil War   / a unit of surface area equal to 100 square meters  ","registry-api/src/reservedWords.ts"
"arbalest","no","wordnet-gloss-synonym-candidate","setup-classifier","Heavy Manufacturing","5.0","heavy engine","catapult arbalest arbalist ballista bricole mangonel onager trebuchet trebucket","an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"arbalist","no","wordnet-gloss-synonym-candidate","setup-classifier","Heavy Manufacturing","5.0","heavy engine","catapult arbalest arbalist ballista bricole mangonel onager trebuchet trebucket","an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"arbor","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","5.0","park tree","arbor arbour bower pergola spindle mandrel mandril","a framework that supports climbing plants; ""the arbor provided a shady resting place in the park""   / any of various rotating shafts that serve as axes for larger rotating parts  ","market-validation-api/src/domain/market-research/scoring.ts"
"arbor","no","wordnet-gloss-synonym-candidate","setup-classifier","Landscaping","5.0","tree shrub","arbor arbour bower pergola spindle mandrel mandril","a framework that supports climbing plants; ""the arbor provided a shady resting place in the park""   / any of various rotating shafts that serve as axes for larger rotating parts  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"arboreal","no","wordnet-gloss-synonym-candidate","market-regex-safety_relevant_pattern","SAFETY_RELEVANT_PATTERN","5.0","roof living","arboreal arboreous tree living arborescent arboresque arboriform dendriform dendroid dendroidal treelike shaped arborical arborary arborous","inhabiting or frequenting trees; ""arboreal apes""   / resembling a tree in form and branching structure; ""arborescent coral found off the coast of Bermuda""; ""dendriform sponges""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"arc","no","wordnet-gloss-synonym-candidate","setup-classifier","Electrical Contractor","5.0","electrical electric","discharge spark arc electric bow arch curve","electrical conduction through a gas in an applied electric field   / a continuous portion of a circle  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"arch","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","3.5","construction masonry","arch archway curve arc impish implike mischievous pixilated prankish puckish wicked condescending patronizing patronising","(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it   / a passageway under a curved masonry construction; ""they built a triumphal arch to memorialize their victory""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"architecture","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","6.0","construction design hardware","architecture computer","the profession of designing buildings and environments with consideration for their esthetic effect   / an architectural product or work  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"architecture","no","wordnet-gloss-synonym-candidate","overpass-osm-tag","spas/beauty salons","5.0","beauty esthetic","architecture computer","the profession of designing buildings and environments with consideration for their esthetic effect   / an architectural product or work  ","market-validation-api/src/domain/market-research/fetchers/overpass.ts"
"architecture","no","wordnet-gloss-synonym-candidate","setup-classifier","Real Estate Developer","5.0","mixed use","architecture computer","the profession of designing buildings and environments with consideration for their esthetic effect   / an architectural product or work  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"architecture","no","wordnet-gloss-synonym-candidate","setup-classifier","Software Development","5.0","software design","architecture computer","the profession of designing buildings and environments with consideration for their esthetic effect   / an architectural product or work  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"archway","no","wordnet-gloss-synonym-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","3.5","construction masonry","arch archway","a passageway under a curved masonry construction; ""they built a triumphal arch to memorialize their victory""  ","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"arctic","no","wordnet-gloss-synonym-candidate","market-regex-inherently_seasonal_business_pattern","INHERENTLY_SEASONAL_BUSINESS_PATTERN","7.5","summer water snow","arctic galosh golosh rubber gumshoe zone north frigid gelid glacial icy polar","a waterproof overshoe that protects shoes from water or snow   / the regions to the north of the Arctic Circle centered on the North Pole  ","market-validation-api/src/domain/market-research/scoring.ts"
"arctic","no","wordnet-gloss-synonym-candidate","market-regex-noaa_climate_relevant_pattern","NOAA_CLIMATE_RELEVANT_PATTERN","5.0","climate snow","arctic galosh golosh rubber gumshoe zone north frigid gelid glacial icy polar","a waterproof overshoe that protects shoes from water or snow   / the regions to the north of the Arctic Circle centered on the North Pole  ","market-validation-api/src/domain/market-research/scoring.ts"
"arduous","no","wordnet-gloss-synonym-candidate","setup-classifier","Mental Health Practice","5.0","mental work","arduous backbreaking grueling gruelling hard heavy laborious operose punishing toilsome straining strenuous","difficult to accomplish; demanding considerable mental effort and skill; ""the arduous work of preparing a dictionary""   / characterized by effort to the point of exhaustion; especially physical effort; ""worked their arduous way up the mining valley""; ""a grueling campaign""; ""hard labor""; ""heavy work""; ""heavy going""; ""spent many laborious hours on the project""; ""set a punishing pace""  ","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
